queryID;runtime;load
1;6,2;0.12792750895586988463875888985395473668
2;0,14;0
3;2,6;0
4;2,2;0.058152019173843909501232712400282016
5;1,3;0
6;0,5;0
7;1,8;0.04656
8;0,7;0
9;1,7;0
10;1,7;0
11;0,2;0.00516
12;1,3;0
13;8,1;0.2812706707662417481930405318957936344
14;0,4;0.0085527124884429068103860825361933518
15;0,3;0.00833889531502936814100
16;1,1;0
17;1,3;0.06387521713640961745599069440825082
18;1,7;0
19;3,6;0.084175798900418417519630191744796249
20;1,2;0
21;7,6;0.22861234199380121937740817115260840068
22;0,7;0.01554680576509281306408867286496720630
